plotID,domainID,siteID,elevation,Ecosystem,plotType,CountOfsubplots,InvCover,NativeCover,InvFraction,SumOfMeanRootDiameter_s,SumOfMycorrhizalColonization_s,SumOfRootC_s,SumOfRootCNRatio_s,SumOfSpecificRootLength_s,SumOfRootN_s,SumOfRootMassFraction_s,SumOfRootDensity_s,AvgOfphH2o,AvgOfnitrogenTot,AvgOfctonRatio,AvgOfpOxalate,Allbacteria,Fungi,Ratio
JERC_004,D03,JERC,44.8,Agroecosystem,distributed,6,43,43.33333333,0.313868613,,3557.82,,,89.73256749,887.95,,,5.6,1.8,16,96.6,0.617847222,0.301111111,0.487355289
KONA_002,D06,KONA,324,Agroecosystem,distributed,6,2.666666667,0,1,4.071756613,173.3333333,884.1888889,80.62161645,83.83008333,40.87777778,0.834585053,0.204916667,6.1,2,9,92.6,0.867734375,0.114166667,0.13156868
KONA_004,D06,KONA,325.8,Agroecosystem,distributed,1,0.5,0.5,0.5,0.125833334,25,242.45,16.89818469,18.045,3.375,0.12,0.335,6.1,1.55,8.5,133.85,0.867569445,0.138888889,0.16008965
KONA_005,D06,KONA,317.8,Agroecosystem,distributed,6,69.425,0,1,2.849734833,490.3563219,5372.304606,236.8982122,3087.082199,274.583302,4.845021738,2.767647444,6,2.3,9,417.5,1.235416667,0.223703704,0.181075511
KONA_006,D06,KONA,354,Agroecosystem,distributed,6,2.333333333,0,1,4.095814814,186.6666667,740.8333333,61.98917646,52.88966667,38.5,0.75664074,0.184333333,5.95,1.55,7,73.5,0.844305556,0.148518519,0.175906125
KONA_048,D06,KONA,327.5,Agroecosystem,tower,6,19.83333333,0,1,10.6505,0,7785.464814,914.7227863,1377.15725,203.4018519,5.235606487,1.33875,5.95,1.8,10.5,197.25,0.9778125,0.140833333,0.144028976
KONA_054,D06,KONA,321.2,Agroecosystem,tower,1,0.5,0,1,,22.22,,,,,0.118611111,,6.5,1.6,8,155.4,0.888125,0.172222222,0.193916647
KONA_057,D06,KONA,330.2,Agroecosystem,tower,6,14.83333333,0,1,7.895996237,43.75,5857.47037,676.8601649,1002.21414,154.4962964,3.841182168,1.00225,6.5,1.6,8,155.4,0.762777778,0.132962963,0.174314154
SERC_007,D02,SERC,4.1,Agroecosystem,distributed,6,63.375,4.55,0.933014354,24.92798007,5366.666667,28597.6963,1968.880318,1336.186406,926.837037,7.550247777,4.715539269,6.2,1.1,9,433.6,0.641041667,0.078888889,0.12306359
STER_006,D10,STER,1361.2,Agroecosystem,distributed,6,34.66666667,21.33333333,0.619047619,12.29541944,762.0095238,12870.32326,928.1595369,3042.74144,250.5150094,8.347020332,8.101874765,5.9,1.2,9,168.9,1.101833333,0.196666667,0.178490395
STER_011,D10,STER,1362.6,Agroecosystem,tower,6,47.83333333,17.75,0.72935197,15.02374618,1603.678571,18265.88095,949.4524956,4013.029519,278.5680895,12.30841039,14.42119579,6.8,1.7,8,178,1.442666667,0.592222223,0.410505237
STER_012,D10,STER,1363.7,Agroecosystem,tower,6,56.91666667,7.416666667,0.884715026,23.20245823,1123.083333,21778.36708,1731.783208,4490.915411,436.0833882,14.6443935,11.42742518,6.8,1.7,8,178,2.097111111,0.475833333,0.226899438
STER_016,D10,STER,1360.6,Agroecosystem,tower,6,35.2,10.33333333,0.773060029,10.99261864,983.7440476,14275.44244,960.6448909,3182.618798,248.1340465,8.998570356,9.932812603,5.9,1.2,9,168.9,1.305055556,0.463055556,0.354816738
