plotID,domainID,siteID,elevation,Ecosystem,InvCover,NativeCover,InvFraction,AvgOfphH2o,AvgOfnitrogenTot,AvgOfctonRatio,AvgOfpOxalate,Allbacteria,Fungi,Ratio,AvgOfMeanRootDiameter,AvgOfMycorrhizalColonization,AvgOfRootC,AvgOfRootCNRatio,AvgOfSpecificRootLength,AvgOfRootN,AvgOfRootMassFraction,AvgOfRootDensity,traitsPC1,traitsPC2
DCFS_063,D09,DCFS,563.3,Grassland,-0.561365932,1.420901303,-0.860937652,-0.006682432,0.541833924,-0.193444578,0.184213153,1.631667583,1.163351005,-0.053209595,-0.155713663,0.455594846,-0.512090077,-0.845619707,0.50740255,0.905149688,1.149902274,-0.31675369,1.241910871,1.290002892
JERC_004,D03,JERC,44.8,Agroecosystem,1.352127682,0.079812681,-0.051410288,-0.767800152,-0.273785754,0.922390243,-0.66294235,-0.547874149,-0.362416892,0.57554933,0.139402089,1.491374741,-2.203716263,-0.81624606,-0.745470835,0.931026785,-2.952277362,-1.200606198,2.86191011,-2.085687512
KONA_002,D06,KONA,324,Agroecosystem,-0.626784517,-0.941071647,1.888768522,-0.387241292,-0.224354259,-0.379417048,-0.677586352,-0.461231281,-0.500262808,-0.977718443,3.345061042,-0.00472304,-2.27351574,-0.930644665,-0.805378001,0.598717361,-0.558922004,-1.337269547,3.476772089,-2.292618919
KONA_004,D06,KONA,325.8,Agroecosystem,-0.733089718,-0.929292212,0.474914815,-0.387241292,-0.335575124,-0.472403284,-0.526570084,-0.461288466,-0.482033556,-0.853203628,-0.302331487,0.497547925,2.67107105,-1.194032407,-0.908856603,-1.173670887,-1.10066698,3.257313744,-2.516189257,-1.337515565
KONA_005,D06,KONA,317.8,Agroecosystem,2.648642266,-0.941071647,1.888768522,-0.463353064,-0.150207015,-0.379417048,0.511872692,-0.333745541,-0.41949425,-0.761585055,-0.457559499,-0.196488628,0.874974416,-2.689202136,1.244992687,2.806035886,1.155643207,-0.093240252,1.696341155,2.624825481
KONA_006,D06,KONA,354,Agroecosystem,-0.643139164,-0.941071647,1.888768522,-0.50140895,-0.335575124,-0.751361989,-0.74751146,-0.469354708,-0.474933023,-0.784153191,5.828995288,2.00436082,-3.702027125,-1.941572786,-1.048289261,1.433656333,-0.257187359,-1.292998322,6.531989181,-3.007795466
KONA_048,D06,KONA,327.5,Agroecosystem,0.215479766,-0.941071647,1.888768522,-0.50140895,-0.273785754,-0.100458343,-0.294462655,-0.423064114,-0.480599795,-0.923320172,0.861126796,-2.013806899,-0.845004355,0.080283454,-0.56246674,-0.236221612,-0.860656648,-1.381540773,0.421554997,-1.577442372
KONA_057,D06,KONA,330.2,Agroecosystem,-0.029839928,-0.941071647,1.888768522,-0.082794204,-0.32321725,-0.565389519,-0.447675524,-0.49762267,-0.486403115,-0.791103304,0.577722372,0.183628572,0.477119524,-0.670427056,-0.850832657,0.398153728,-1.606540598,-1.373841429,1.108467048,-1.437466505
MLBS_001,D07,MLBS,1310.9,Mixed forest,-0.733089718,3.781696311,-0.931903627,-2.061700275,0.344107942,0.736417772,0.466476287,-0.108902076,0.654734397,2.342411855,-0.428667293,-1.749516701,-1.115819614,-0.442790988,0.149166773,-0.25552484,-1.754195657,-0.118215445,-0.167347448,-1.264708957
MOAB_004,D13,MOAB,1762.9,Mixed forest,-0.733089718,-0.811497867,-0.703296609,1.211105919,-0.619806224,-0.937334459,-0.853314373,-0.071282089,-0.154726315,-0.275127149,-0.355493346,0.054367662,0.056565095,1.453766722,-0.959606818,-1.105015067,0.750943402,-0.71283127,-0.835615648,-0.35091802
MOAB_005,D13,MOAB,1768.1,Mixed forest,-0.733089718,-0.408052233,-0.877799272,0.982770603,-0.595090476,-0.379417048,-0.731036958,0.008399854,-0.104237432,-0.272667459,-0.355493346,0.054367662,0.056565095,1.453766722,-0.959606818,-1.105015067,0.750943402,-0.71283127,-0.835615648,-0.35091802
MOAB_006,D13,MOAB,1760.6,Mixed forest,-0.733089718,-0.73885802,-0.783285272,1.211105919,-0.619806224,-0.937334459,-0.853314373,-0.160140766,-0.40051398,-0.924843707,-0.355493346,0.054367662,0.056565095,1.453766722,-0.959606818,-1.105015067,0.750943402,-0.71283127,-0.835615648,-0.35091802
ONAQ_002,D15,ONAQ,1688,Mixed forest,-0.65949381,-0.677997608,-0.509413716,1.401385349,-0.459153863,-0.472403284,1.32223514,-0.45979561,-0.403654601,-0.324398933,-0.058095752,-0.161858581,0.056565095,1.453766722,-0.87398829,2.09675123,0.649366518,-0.399193742,0.466954294,0.568719174
ONAQ_003,D15,ONAQ,1610.9,Mixed forest,-0.634961841,-0.819350823,-0.016860386,1.173050033,-0.422080241,-0.844348224,0.182016552,-0.334178951,-0.215353939,0.218548532,-0.581010616,-1.201942865,0.07308787,-0.100202135,-0.12193909,-0.141496047,0.068587553,0.626432839,-0.948179093,-0.065201044
ONAQ_004,D15,ONAQ,1713.7,Mixed forest,-0.651316487,-0.595541567,-0.574976553,1.401385349,-0.459153863,-0.472403284,1.32223514,-0.499380388,-0.302608561,0.650158615,-0.108300472,-0.175810553,0.264163016,-0.080869717,-0.764663914,0.075533913,1.076707395,-0.248278377,-0.028767654,0.226373266
ONAQ_005,D15,ONAQ,1614.4,Mixed forest,-0.60634121,-0.71726239,-0.246056942,1.173050033,-0.422080241,-0.844348224,0.182016552,-0.415551675,-0.410755133,-0.523204076,-0.355493346,-1.274469667,0.056565095,1.453766722,3.625454079,0.552076989,0.113860728,-0.71283127,-0.518793304,2.458908748
ONAQ_008,D15,ONAQ,1795.9,Evergreen forest,-0.610429871,0.961307033,-0.837647879,1.249161805,-0.582732602,0.643431537,0.621702705,-0.306464791,-0.35313158,-0.509916837,-0.105015071,0.160258043,-0.136974247,0.012764255,-0.312514632,1.31901461,0.882973261,-0.063794128,0.722430155,0.770105124
ONAQ_010,D15,ONAQ,1903.7,Evergreen forest,-0.634961841,-0.699593239,-0.384486459,0.982770603,-0.446795989,-0.193444578,0.387032577,0.013488087,0.260654839,0.684763536,0.007566961,0.126284798,0.264163016,-0.080869717,-0.772565863,1.816528451,0.900401468,-0.194037656,0.86976565,0.693215399
ONAQ_041,D15,ONAQ,1650.7,Mixed forest,-0.628828848,-0.817387584,0.003630245,1.401385349,-0.459153863,-0.472403284,1.32223514,-0.543082561,-0.459639569,-0.382285752,-0.588583799,-1.201942865,-1.652628631,-0.14727799,2.444999386,0.398437366,0.741944365,0.372455254,0.231562052,1.827809522
ONAQ_042,D15,ONAQ,1663.7,Mixed forest,-0.65949381,-0.776159563,-0.310559468,1.401385349,-0.459153863,-0.472403284,1.32223514,-0.494504526,-0.416899825,-0.266768181,-0.355493346,-0.998976856,0.056565095,1.453766722,3.625454079,0.552076989,0.113860728,-0.71283127,-0.413976889,2.48763687
ONAQ_043,D15,ONAQ,1658,Mixed forest,-0.684025779,-0.293202747,-0.792678164,1.401385349,-0.459153863,-0.472403284,1.32223514,-0.482369047,-0.432056731,-0.433763555,-0.355493346,-0.660700175,0.056565095,1.453766722,-0.959606818,-1.105015067,0.750943402,-0.71283127,-1.107676642,-0.425484597
RMNP_019,D10,RMNP,2649.7,Evergreen forest,-0.724912395,0.896323819,-0.915124113,-1.376694327,0.035161094,1.666280123,-0.784121465,-0.184941449,-0.419767348,-0.966371783,-0.387176868,1.877397882,-0.811150599,0.767718394,-0.103454189,-0.298022714,1.227592753,-0.141380059,0.619026235,0.750690688
SCBI_006,D02,SCBI,297.9,Agroecosystem,1.197167409,-0.35563375,0.802561706,-0.539464836,-0.051344024,-0.565389519,-0.456461925,0.087798636,0.162442185,0.251955511,1.097033872,0.578987807,-0.277557224,-0.439157826,0.291210365,0.857622036,0.060968407,0.444511347,1.16629638,-0.024045926
SERC_007,D02,SERC,4.1,Agroecosystem,2.351805436,-0.833878792,1.699352714,-0.31112952,-0.446795989,-0.379417048,0.570814799,-0.539831986,-0.526275336,-1.014849357,0.100247468,0.183628572,0.477119524,-0.670427056,0.103870492,0.398153728,-1.44997456,-0.788345823,0.703189194,-0.617561729
SOAP_043,D17,SOAP,1247.6,Evergreen forest,-0.665626802,2.639876455,-0.90448267,-0.425297178,1.159727621,3.247046119,1.205815326,-0.596555721,-0.14100317,3.94695893,-0.355493346,0.145556495,-0.882235359,0.631654807,0.547692689,-0.505731006,1.117037401,-0.71283127,0.215790162,0.843475095
SOAP_044,D17,SOAP,1242,Evergreen forest,-0.708557749,0.545492993,-0.894824892,-0.273073634,1.468674469,3.061073649,2.624269948,-0.566371124,-0.126870379,3.247139312,-0.355493346,0.054367662,0.056565095,1.453766722,-0.959606818,-1.105015067,0.408979329,-0.71283127,-0.834424523,-0.55360634
SRER_001,D14,SRER,1172.1,Mixed forest,-0.58180924,0.15912754,-0.73742842,0.145541112,-0.496227485,-0.193444578,-0.983279889,-0.432996426,-0.306705021,0.180381233,-0.341894959,-1.511535935,1.042885748,0.970398779,-0.189078572,-1.263333399,0.645502648,1.966498849,-2.860243911,-0.228463033
SRER_002,D14,SRER,1032,Mixed forest,-0.708557749,-0.087062642,-0.863027283,-0.996135468,-0.619806224,-1.123306929,-1.016594993,-0.652735285,-0.513985952,-0.229513052,-0.003385456,-0.397247799,0.800506032,0.649385101,-0.637262126,-0.937713058,-0.461118612,1.966498849,-1.944222563,-1.103342772
SRER_003,D14,SRER,974.5,Mixed forest,-0.684025779,1.528683129,-0.899049603,0.754435287,-0.619806224,-0.565389519,-0.898344679,-0.675706014,-0.544299765,-0.598173127,-0.341894959,-1.511535935,1.042885748,0.970398779,-0.189078572,-1.263333399,0.645502648,1.966498849,-2.860243911,-0.228463033
SRER_005,D14,SRER,1261.1,Mixed forest,-0.39781947,-0.589651849,-0.006960419,-0.920023696,-0.595090476,0.364472832,-0.835009371,-0.447587896,-0.346031048,0.004069114,-0.341894959,-1.511535935,1.042885748,0.970398779,-0.189078572,-1.263333399,0.645502648,1.966498849,-2.860243911,-0.228463033
