,nativeStatusCode,SumOfpercentCover,rootCcontent,rootNcontent,rootCNratio,mycorrhizaIntensity,rootDiameter,SRL,RMF,rootingDepth,rootTissueDensity
Lycopodium_clavatum,N,1,237.7681166,,,0,,,,,
Lycopodium_dendroideum,N,1.195833333,237.7681204,,,0,,,,,
Lycopodium_hickeyi,N,1.138888889,237.7681204,,,0,,,,,
Lycopodium_annotinum,N,2.93452381,469.1049039,11.16203369,42.02683094,0,,,,,
Equisetum_sylvaticum,N,2.128787879,441.3733317,12.79277952,34.50175398,0,,,,,
Equisetum_fluviatile,N,0.5,404.247207,9.04652861,44.68534003,0,,,,149.8387999,
Impatiens_pallida,N,0.5,248.3674316,23.10000001,,0,,7.758839068,,,
Equisetum_scirpoides,N,0.666666667,,,,0,,,,,
Rubus_chamaemorus,N,5.678754579,380.7643508,2.032604984,259.4999999,0,0.110814682,9.550266102,,30.0208333,
Celtis_occidentalis,N,3.527419355,,,,0,,,,183.7944001,
Celtis_laevigata,N,62.045,,,,0,,,,362.4,
Rubus_argutus,N,2.307291667,,,,0,,,,,
Rubus_canadensis,N,2,,,,0,,,,,
Rubus_hispidus,N,4.063888889,,,,0,,,,,
Rubus_pensilvanicus,N,2,,,,0,,,,,
Rubus_trivialis,N,2.495386905,,,,0,,,,,
Impatiens_capensis,N,0.566666667,256.9976602,12.03296183,34.38806508,0,,267.26,,,
Magnolia_fraseri,N,4.875,,,,0,0.020818275,,,,
Alnus_viridis,N,19.64285714,299.6400429,,,0,0.026539968,,0.213173853,20.19999998,
Geum_canadense,N,1.220535714,,,,0,,,,,
Rosa_bridgesii,N,10.33333333,,,,0,,,,,
Rosa_gymnocarpa,N,2.416666667,,,,0,,,,,
Cornus_drummondii,N,11.69451346,,,,1,,,,,
Cornus_unalaschkensis,N,2.753258145,,,,1,,,,,
Potentilla_simplex,N,3.208333333,,,,0,,,,,
Cystopteris_protrusa,N,0.625,,,,2,,,,,
Tofieldia_pusilla,N,0.5,,,,20,0.565,,,1.507866668,
Waldsteinia_fragarioides,N,10.66666667,,12.935,,0,,93.65555547,,,
Betula_occidentalis,N,12.33333333,,,,0,,,,,
Ilex_mucronata,N,2.276666667,,,,0,,,,,
Rosa_setigera,N,5,,,,0,,,,74.03500005,
Ilex_anomala,N,2.504310345,,,,0,,,,,
Alnus_incana,N,13.38888889,523.9809911,12.79626216,45.12194533,0,0.03108937,1.403132065,0.28,20.19999998,
Ilex_coriacea,N,8.083333333,,,,0,,,,,
Ilex_glabra,N,13.6875,,,,0,,,,,
Dryas_octopetala,N,1.916666667,270.8597988,12.85000001,3.133333334,0,,,0.144289622,2.019999998,
Betula_neoalaskana,N,16.88888889,,,,0,,,,,
Menyanthes_trifoliata,N,15.4,431.1023686,7.084951571,60.84760979,3,0.055458606,1.572895715,0.080604161,50.24999999,
Rubus_occidentalis,N,2.642857143,,,,0,,,,,
Ilex_decidua,N,4.703703704,233.3822995,,,1,0.023117046,,,,
Ilex_vomitoria,N,65,233.3822995,,,1,0.023117046,,,,
Cornus_alternifolia,N,1.666666667,,,,2,,,,61.26479999,
Cornus_canadensis,N,4.857432432,242.247022,10.38000001,,1,,61.99652781,,,
Dryas_integrifolia,N,3.321428571,247.937354,6.925000004,1.2,0,,,0.075821055,6.700000005,
Morus_rubra,N,2.5,284.1521733,2.438641261,,6,0.294831135,,,163.3727999,
Rubus_flagellaris,N,3.326515152,,,,0,,,,,
Cornus_asperifolia,N,8,,,,3,,,,,
Cornus_rugosa,N,4.5,,,,3,,,,,
Potentilla_pulcherrima,N,2,,,,0,,,,,
Rubus_cuneifolius,N,3.270833333,,,,0,,,,,
Rubus_pubescens,N,4.32724359,,,,0,,57.41999998,,,
Potentilla_fissa,N,2.270833333,,,,0,,,,,
Cystopteris_fragilis,N,0.5,,15.91999999,,90,,,,12.73000001,
Potentilla_diversifolia,N,0.791666667,,,,0,,,,32.15999999,
Vitis_rotundifolia,N,4.938125,,,,0,0.027959866,,,,
Morus_alba,I,1,312.695295,19.88799999,,50,1.177416666,,0.14,209.3214001,
Corylus_cornuta,N,95.65151515,293.8391463,2.368700716,0.347929064,0,0.051403937,14.76711349,,4.663285714,
Juncus_interior,N,7.75,,,,0,,0.87769498,,,
Juncus_scirpoides,N,1,,,,0,,0.87769498,,,
Androsace_septentrionalis,N,0.5,464.6035009,12.29704856,25.23047211,0,0.023578289,79.99693946,0.113475177,5.499999994,
Chamerion_angustifolium,N,7.62965368,452.774344,11.29821394,40.0748602,0,0.020101987,295.2229489,0.238047141,28.90000002,
Arenaria_congesta,N,0.5,,,,0,,0.604915462,,30.74999999,
Cornus_sericea,N,3.875,,,,94,0.021250941,,,,
Luzula_confusa,N,0.5,293.3606166,8.075,65.20000004,0,,14.55011848,,2.524999997,
Chamaesyce_articulata,N,5,,,,0,,1.032284472,,,
Chamaesyce_hirta,N,3.25,,,,0,,1.032284472,,,
Vitis_cinerea,N,2.604166667,,,,0,0.050263462,,,0.1838347,
Luzula_multiflora,N,0.5,292.1669443,5.237476544,84.58953294,0,,132.06,,,
Equisetum_arvense,N,1.457142857,,,0.375833333,0,0.169,89.07333335,,113.5262744,
Betula_glandulosa,N,10.17933489,228.2976042,,,0,0.31,,,20.09999998,
Luzula_spicata,N,1.138888889,252.6379831,,,0,,152.8099997,,,
Nyssa_biflora,N,0.5,241.5431974,,,2,0.061582316,,,,
Cornus_suecica,N,1.583333333,465.5504288,7.812801368,59.58815627,2,0.036386006,,,,
Corylus_americana,N,1,278.887627,10.525525,43.7,0,0.028352997,52.00000004,,234.8484002,
Arctostaphylos_alpina,N,7.047619048,289.8277303,1.194712188,,40,0.155828895,14.92532127,,1.563337836,
Digitalis_purpurea,I,10.33333333,289.9039076,,,8,0.085329716,331.1988407,0.234662639,,
Verbesina_aristata,N,2.5,,,,1,0.031307587,0.661823945,,,
Arctostaphylos_nevadensis,N,26,282.0198046,1.189194867,,10,0.113068053,9.890215323,,1.84058511,
Arctostaphylos_viscida,N,4.625,282.0198046,1.189194867,,10,0.113068053,9.890215323,,1.84058511,
Rhus_aromatica,N,16.5,,,,0,0.067264528,2.207126181,,0.911250311,
Rosa_woodsii,N,1.726190476,446.3888169,6.522524949,68.43803901,1,0.02746614,36.24404375,,,
Rhus_copallinum,N,3.93125,,,,0,0.079595503,2.215827898,,95.13999998,
Lupinus_benthamii,N,4,264.0872409,1.76735867,,1,0.03382311,0.665079463,,0.123411668,
Lupinus_bicolor,N,1.723333333,264.0872409,1.76735867,,1,0.03382311,0.665079463,,0.123411668,
Lupinus_sericeus,N,1.768333333,264.0872409,1.76735867,,1,0.03382311,0.665079463,,0.123411668,
Arctostaphylos_patula,N,19.75,278.9654625,1.333076281,,12,0.111651206,9.767306522,,133.9999999,
