species,nativeStatusCode,SumOfpercentCover,rootCcontent,rootNcontent,rootCNratio,mycorrhizaIntensity,rootDiameter,SRL,RMF,rootingDepth,rootTissueDensity,genus
Rubus_chamaemorus,N,5.678754579,,,259.4999999,0,1.922006208,,0.220126523,30.0208333,0.007528457,Rubus
Tsuga_heterophylla,N,16.84404762,492.7199999,3.90333333,257.4999998,12,0.631214941,41.99993829,0.234,54.27000005,0.118492495,Tsuga
Impatiens_pallida,N,0.5,503.5174856,23.10000001,252.7553606,25,0.404429964,305.4146713,0.203327077,30.96282071,0.068885981,Impatiens
Acer_pensylvanicum,N,9.3515625,453.2212953,17.24079821,250.0339576,46,0.527666092,39.60632815,0.20625,71.12000001,0.236737611,Acer
Arctostaphylos_uva-ursi,N,2.630952381,490.7123521,8.315942217,246.9066076,99,0.434113333,92.44859664,0.224983662,49.23666662,0.146890074,Arctostaphylos
Cystopteris_fragilis,N,0.5,465.9157242,15.91999999,235.134827,90,0.297010112,72.00100537,0.163407887,12.73000001,0.186698859,Cystopteris
Callicarpa_americana,N,7,459.0303035,20.59871434,229.7777482,99,0.429633333,22.98446001,0.209673523,57.75809367,0.168178206,Callicarpa
Viburnum_edule,N,1,427,13.79999999,211.0041212,96,0.595390499,11.59999999,0.325626201,55.02647039,0.37,Viburnum
Sorghum_bicolor,I,30.4,476.7513975,11.74676249,193.9126072,49,0.414,128.054,0.50725,145.3376694,0.062,Sorghum
Arctostaphylos_patula,N,19.75,484.1268432,9.747326287,187.7927291,73,0.402251927,105.3904637,0.317551283,133.9999999,0.14111977,Arctostaphylos
Thuja_occidentalis,N,0.5,476.1747153,17.60000001,181.3497834,73,0.31598,108.9993876,0.311641099,63.65833334,0.555658267,Thuja
Chamaedaphne_calyculata,N,4.25,464.1999999,2.629999997,178.4,43,0.29,54.48937856,0.25410745,5.453216162,0.139036841,Chamaedaphne
Pinus_rigida,N,1,,8.728374121,177.7908648,20,0.651955983,41.98539042,0.237899893,155.3172134,0.136410958,Pinus
Arctostaphylos_nevadensis,N,26,491.5702899,9.012166923,175.5881137,65,0.451033168,106.683944,0.253214691,63.63558966,0.126825332,Arctostaphylos
Arctostaphylos_viscida,N,4.625,491.5702899,9.012166923,175.5881137,65,0.451033168,106.683944,0.253214691,63.63558966,0.126825332,Arctostaphylos
