Plot,PC1,PC2,PC3,,plotStatus
1,-3.551740034,0.83519516,-0.072583979,,Highly Invaded
2,-5.74978509,0.033035579,0.030675006,,Highly Invaded
3,-4.075038647,0.60412278,0.081934832,,Highly Invaded
4,-1.35280772,1.517245395,0.043815343,,Highly Invaded
5,-1.127503837,1.653070238,0.516927987,,Highly Invaded
6,0.467635618,2.367764102,0.758013113,,Highly Invaded
7,-2.154471677,1.43483038,0.503870859,,Highly Invaded
8,-1.183232342,1.8396124,0.760261001,,Highly Invaded
9,-1.098023387,-1.636723906,1.577286014,,Highly Invaded
10,-0.528257049,1.813425478,1.202591937,,Highly Invaded
11,-0.487948828,2.04549401,1.006368542,,Highly Invaded
12,-0.460341694,1.863047613,0.660207619,,Highly Invaded
13,-1.021025238,1.728830138,0.149622985,,Highly Invaded
14,-2.992323598,0.765411148,0.012233787,,Highly Invaded
15,-3.266216279,0.900501199,0.149221794,,Highly Invaded
16,-0.505746408,-4.075257136,-1.445215272,,Highly Invaded
17,-3.880410137,0.05191508,-0.651735356,,Highly Invaded
18,-3.13587909,0.160023357,-0.55835896,,Highly Invaded
19,-5.262586125,-3.149203003,-1.254471647,,Highly Invaded
20,-3.685868855,0.132920436,-0.493213587,,Highly Invaded
21,-3.750673946,0.115722597,-0.528471915,,Highly Invaded
22,4.928120012,2.15432942,-0.962821456,,Highly Invaded
23,0.585790122,2.171644407,0.815416357,,Highly Invaded
24,-4.357673947,-0.017720042,0.206358219,,Highly Invaded
25,-5.917231645,-0.409251495,-0.383936109,,Highly Invaded
26,-3.468190102,-0.008179958,-0.60899949,,Highly Invaded
27,-5.385735877,-2.753259786,-1.133128393,,Highly Invaded
28,-5.585001347,-0.368045633,-0.451359337,,Highly Invaded
29,-5.235138244,-0.107720175,-0.188475452,,Highly Invaded
30,-5.373265043,-2.391965953,-0.7941058,,Highly Invaded
31,-4.345716343,-0.058086832,-0.524844325,,Highly Invaded
32,-4.368926557,-0.00140979,-0.543268861,,Highly Invaded
33,-4.157449722,-0.012133264,-0.529579569,,Highly Invaded
34,-4.780218393,-2.460699558,-1.603948765,,Highly Invaded
35,-2.415741725,1.352775761,0.165506712,,Highly Invaded
36,-2.702168663,1.139743009,0.038882132,,Highly Invaded
37,-2.764014425,0.987278389,0.026546159,,Highly Invaded
38,0.927223354,-0.824675194,-0.331382789,,Highly Invaded
39,-1.31283563,1.614801469,-0.106001105,,Highly Invaded
40,-4.076576974,0.230800519,-0.419592694,,Highly Invaded
41,-4.631165647,-2.768433952,-1.853311896,,Highly Invaded
42,3.198574994,1.580040984,-0.12159602,,Highly Invaded
43,3.19859219,1.41492824,-0.109809511,,Highly Invaded
44,6.195386309,2.085451201,-0.119028385,,Highly Invaded
45,-4.840812422,0.317142016,-0.109641935,,Moderately Invaded
46,-5.326930291,-0.181949717,-0.36197187,,Moderately Invaded
47,-5.357686485,0.184959147,-0.03897688,,Moderately Invaded
48,-5.114486859,0.212889367,-0.032757398,,Moderately Invaded
49,-4.148706059,0.509036922,0.04118147,,Moderately Invaded
50,-5.038495788,0.330422695,0.008801625,,Moderately Invaded
51,-5.071138653,0.231721744,-0.042841931,,Moderately Invaded
52,-4.828950819,0.492017225,0.100742816,,Moderately Invaded
53,-4.951377131,0.331775017,-0.054997094,,Moderately Invaded
54,-5.348877998,0.169574904,-0.001843406,,Moderately Invaded
55,-3.505239131,-0.664157638,3.153551789,,Moderately Invaded
56,-2.825830102,-1.132773883,5.665720597,,Moderately Invaded
57,-2.859880406,-0.416502649,7.021027262,,Moderately Invaded
58,-2.906817802,-1.072415142,5.399470246,,Moderately Invaded
59,-3.425749665,-0.925652186,5.118516451,,Moderately Invaded
60,-1.768990644,-1.0941555,5.924077884,,Moderately Invaded
61,-2.914119819,-0.956287286,5.300430211,,Moderately Invaded
62,-3.649089224,-0.421801099,4.762712807,,Moderately Invaded
63,-2.204040967,-1.534383095,2.672647507,,Moderately Invaded
64,-0.900596462,1.802542434,0.354466736,,Moderately Invaded
65,-0.631817235,2.0427817,0.846951675,,Moderately Invaded
66,0.749276573,2.12574033,1.452665139,,Moderately Invaded
67,1.125448221,2.395885206,0.995220487,,Moderately Invaded
68,1.25632194,-1.316466531,0.854764881,,Moderately Invaded
69,-0.614556464,-1.626499782,1.214258514,,Moderately Invaded
