plotID,Year,Status,pcentCover,rootC_cwm,rootN_cwm,CNratio_cwm,MI_cwm,diameter_cwm,SRL_cwm,RMF_cwm,RD_cwm,RTD_cwm
BONA_001,2021,N,50.83333333,452.6027373,15.61155466,48.87642649,26.52566148,0.370847335,94.9286176,0.304328561,75.16359289,0.208617082
BONA_002,2021,N,12.83333333,501.6875585,14.33541979,855.550463,21.61862905,0.386617971,60.82022952,0.2304503,38.5214738,0.235356289
BONA_004,2021,N,112.5333333,354.2601738,14.37205788,35.12656402,47.89941494,0.269442005,67.68748756,0.732054007,21.90359362,2.021658391
BONA_006,2021,N,47.08333333,492.1185183,11.82197116,62.93956022,29.4626959,0.45133272,194.2497686,0.192526884,18.68884001,0.176046597
BONA_009,2021,N,91.45833333,454.7246639,14.10193101,71.02030447,27.4211629,0.435014649,288.4878889,0.295313684,25.5246776,0.427307373
BONA_009,2021,NI,1,407.3703003,15.67776217,30.02657701,40.19493179,0.216138889,146.9605041,0.278645086,9.666666663,0.228042328
BONA_013,2021,N,34.16666667,477.2519569,13.72529545,58.25627673,20.5272928,0.425981728,111.6243575,0.22090258,26.78386855,0.238425656
BONA_070,2021,N,48.21666667,450.6676578,15.49220644,55.31928402,34.01653367,0.421082167,243.7048166,0.379178677,20.68736862,0.748081809
BONA_071,2021,N,58.10833333,473.6998944,17.33334612,52.26374642,23.76973782,0.46726386,148.837074,0.298246905,44.55672642,0.387846328
BONA_080,2021,N,34.91666667,496.5615203,15.80593541,67.94634613,31.08448717,0.503022896,358.0413978,0.233968373,19.32727672,0.255024365
CPER_001,2021,N,35.33333334,391.0020605,8.053631188,19.04250413,88.97959279,0.178909694,73.34940343,0.3179042,75.95957089,0.509256753
CPER_002,2021,N,37.9,400.604664,11.00349993,22.22215424,97.57149921,0.167749868,134.3423327,0.395700797,53.14241539,0.383763448
CPER_002,2021,NI,0.5,417.0936586,14.21282053,19.64076254,72.41763538,0.126208333,224.6574225,0.184742859,8.318445196,0.43647638
CPER_003,2021,N,47.18333333,412.1866766,11.67683681,30.27986956,164.6734824,0.156994459,114.7414825,0.350517055,83.75544727,0.387947836
