plotID,Year,siteID,domainID,decimalLatitude,decimalLongitude,nlcdClass,Habitat,I,N,NI,c8To0Concentration,c10To0Concentration,c11To0Concentration,lipid2OH10To0Concentration,c12To0Concentration,c13To0Concentration,lipid2OH12To0Concentration,lipid3OH12To0Concentration,c14To1Concentration,c14To0Concentration,i14To0Concentration,i15To0Concentration,aC15To0Concentration,c15To0Concentration,c15To1Concentration,lipid2OH14To0Concentration,lipid3OH14To0Concentration,i16To0Concentration,cis16To1n9Concentration,c16To1n7Concentration,c16To1Cis11Concentration,c16To0Concentration,lipid10Methyl16To0Concentration,i17To0Concentration,c17To1Concentration,cyclo17To0Concentration,c17To0Concentration,c17To0AnteisoConcentration,c17To1n7Concentration,lipid2OH16To0Concentration,lipid10Methyl17To0Concentration,lipid10Methyl17To1Concentration,c18To1n13Concentration,c18To3n6Concentration,cis18To2n912Concentration,cis18To1n9Concentration,trans18To1n9Concentration,trans18To2n912Concentration,c18To3n3Concentration,c18To1n11Concentration,c18To0Concentration,lipid10Methyl18To0Concentration,lipid10Methyl18To1Concentration,cyclo19To0Concentration,c19To0Concentration,c19To1Cis10Concentration,c20To4n6Concentration,c20To5n3Concentration,c20To3n6Concentration,c20To2Concentration,c20To1Concentration,c20To3n3Concentration,c20To0Concentration,c21To0Concentration,c22To2Concentration,c22To1n9Concentration,c22To0Concentration,c22To6CisConcentration,c23To0Concentration,c24To1Concentration,c24To0Concentration,totalLipidConcentration,d15N,organicd13C,nitrogenPercent,organicCPercent,CNratio,soilMoisture,soilInWaterpH
BLAN_031,2020,BLAN,D02,39.058809,-78.070547,cultivatedCrops,Cropland,70.25,20.08333333,,NA,0,0,0,0,0,NA,NA,0,0.448888889,0.268888889,5.722222222,2.612222222,0.325555556,0,NA,NA,1.838888889,2.191111111,NA,1.474444444,7.041111111,5,1.341111111,0,1.312222222,0.31,1.065555556,NA,0,0.28,NA,NA,0.072222222,0.75,2.891111111,NA,NA,NA,2.935555556,NA,1.141111111,NA,4.623333333,NA,NA,0.42,0.13,0.175555556,0,0.325555556,NA,0.38,0,0,0,0.241111111,0,0,0,0.302222222,45.60555556,3.6075,-16.82682927,0.36775,5.103414634,NA,0.168866667,6.037777778
BLAN_033,2020,BLAN,D02,39.058229,-78.069151,cultivatedCrops,Cropland,22.66666667,,,NA,0,0,0,0,0,NA,NA,0,0.305555556,0.153333333,3.255555556,1.764444444,0.236666667,0,NA,NA,1.477777778,1.035555556,NA,0.661111111,5.505555556,2.9,0.951111111,0,0.85,0.231111111,0.757777778,NA,0,0.248888889,NA,NA,0.016666667,0.508888889,1.387777778,NA,NA,NA,1.412222222,NA,0.924444444,NA,3.225555556,NA,NA,0.19,0.011111111,0.081111111,0,0.026666667,NA,0.293333333,0,0,0,0.216666667,0,0,0,0.262222222,28.88888889,3.602439024,-16.685,0.371219512,5.06425,NA,0.154466667,5.964444444
SERC_007,2021,SERC,D02,38.873795,-76.539828,cultivatedCrops,Cropland,94.55,5.3,,NA,0,0,0,0,0,NA,NA,0,0.25,0.13,2.855,1.355,0.171666667,0,NA,NA,0.925,0.343333333,0.116666667,0.165,4.443333333,2.118333333,0.813333333,0,0.708333333,0.19,0.64,0.305,0,0.165,0.605,0.038333333,0,0.22,0.478333333,NA,NA,NA,0.351666667,NA,0.61,0,2.4,NA,0,0.038333333,0,0,0.251666667,0,NA,0.276666667,0,0,0,0.111666667,0,0,0,0.095,21.15333333,2.447222222,-26.9,0.794444444,23.24305556,26.59166667,0.195666667,6.193333333
JERC_004,2019,JERC,D03,31.189774,-84.465861,cultivatedCrops,Cropland,43,43.08333333,50.66666667,NA,0,0,0,0.302222222,0,NA,NA,0.057777778,0.25,0.032222222,2.224444444,0.94,0.175555556,0,NA,NA,0.971111111,0.777777778,NA,0.761111111,5.245555556,1.691111111,0.68,0,0.494444444,0.187777778,0.523333333,NA,0,0.084444444,NA,NA,0.066666667,0.836666667,1.605555556,NA,NA,NA,1.593333333,NA,0.661111111,NA,2.423333333,NA,NA,0.223333333,0,0.036666667,0,0,NA,0.198888889,0,0,0,0.204444444,0,0,0,0.233333333,23.47333333,-1.323076923,-27.22857143,2.166153846,46.44071429,NA,0.061833333,5.876666667
KONA_001,2019,KONA,D06,39.215958,-96.594339,cultivatedCrops,Cropland,1,,,NA,0,0,0,0,0,NA,NA,0,0.216666667,0.064444444,2.475555556,1.216666667,0.167777778,0,NA,NA,1.327777778,1.25,NA,0.668888889,3.721111111,2.301111111,0.771111111,0,0.73,0.153333333,0.781111111,NA,0,0.228888889,NA,NA,0,0.356666667,1.572222222,NA,NA,NA,1.654444444,NA,0.894444444,NA,2.607777778,NA,NA,0.087777778,0,0,0,0,NA,0.171111111,0,0,0,0.075555556,0,0,0,0.068888889,23.56333333,-1.033333333,-27.03333333,2.336666667,49.25,NA,0.246833333,6.317777778
KONA_002,2019,KONA,D06,39.115597,-96.638463,cultivatedCrops,Cropland,2.666666667,,,NA,0,0,0,0.12,0,NA,NA,0,0.2425,0.12125,2.90625,2.02625,0.17875,0,NA,NA,1.19875,1.37,NA,0.84375,3.6175,2.575,0.84375,0,0.72125,0.1775,0.87,NA,0,0.18375,NA,NA,0,0.3425,1.65875,NA,NA,NA,1.84125,NA,0.78875,NA,2.9825,NA,NA,0.14375,0.02,0,0,0.03,NA,0.1675,0,0,0,0.08875,0,0,0,0.06125,26.11125,-1.0875,-26.95,2.3175,49.23125,NA,0.22075,6.216666667
KONA_003,2019,KONA,D06,39.215287,-96.599283,cultivatedCrops,Cropland,1,1,,NA,0,0,0,0.178888889,0,NA,NA,0,0.365555556,0.243333333,4.07,2.262222222,0.272222222,0,NA,NA,1.686666667,2.106666667,NA,1.254444444,4.995555556,3.87,1.124444444,0,1.086666667,0.272222222,1.191111111,NA,0,0.292222222,NA,NA,0.015555556,0.611111111,2.718888889,NA,NA,NA,2.825555556,NA,1.175555556,NA,4.108888889,NA,NA,0.342222222,0.098888889,0.026666667,0.048888889,0.075555556,NA,0.223333333,0,0,0,0.113333333,0,0,0,0.118888889,37.75777778,-0.642857143,-27.53076923,1.905714286,31.34923077,NA,0.265,6.392222222
KONA_004,2019,KONA,D06,39.124272,-96.637853,cultivatedCrops,Cropland,0.5,0.5,,NA,0,0,0,0.031111111,0,NA,NA,0,0.252222222,0.155555556,2.997777778,1.711111111,0.204444444,0,NA,NA,1.301111111,1.583333333,NA,0.838888889,3.79,3.123333333,0.848888889,0,0.767777778,0.202222222,0.916666667,NA,0,0.203333333,NA,NA,0.014444444,0.402222222,1.482222222,NA,NA,NA,2.122222222,NA,0.903333333,NA,2.76,NA,NA,0.161111111,0.017777778,0.015555556,0,0,NA,0.17,0,0,0,0.068888889,0,0,0,0.055555556,27.09666667,-0.621428571,-27.5,1.833571429,30.71153846,NA,0.259944444,6.475555556
KONA_005,2019,KONA,D06,39.221583,-96.582637,cultivatedCrops,Cropland,69.425,,,NA,0,0,0,0.11,0,NA,NA,0,0.374444444,0.262222222,4.296666667,2.464444444,0.294444444,0,NA,NA,1.833333333,2.016666667,NA,1.306666667,5.811111111,4.573333333,1.233333333,0,1.075555556,0.288888889,1.281111111,NA,0,0.308888889,NA,NA,0.035555556,0.635555556,2.164444444,NA,NA,NA,2.608888889,NA,1.081111111,NA,3.996666667,NA,NA,0.291111111,0.077777778,0,0,0.183333333,NA,0.24,0,0,0,0.108888889,0,0,0,0.12,39.05222222,-0.646153846,-27.5,1.860769231,31.02357143,NA,0.2355,6.63
KONA_006,2019,KONA,D06,39.124964,-96.647329,cultivatedCrops,Cropland,2.333333333,,,NA,0,0,0,0.117777778,0,NA,NA,0,0.244444444,0.102222222,3.055555556,1.408888889,0.19,0,NA,NA,1.278888889,1.566666667,NA,0.797777778,3.946666667,2.785555556,0.861111111,0,0.822222222,0.211111111,0.878888889,NA,0,0.251111111,NA,NA,0,0.445555556,1.795555556,NA,NA,NA,1.806666667,NA,0.928888889,NA,2.736666667,NA,NA,0.111111111,0,0.036666667,0,0,NA,0.166666667,0,0,0,0.067777778,0,0,0,0.055555556,26.65333333,-0.621428571,-27.5,1.833571429,30.71153846,NA,0.241555556,6.177777778
